Metro,Date,ZHVI
"Edwards, CO",2001-09-30,340736.7967241449
"Durango, CO",2001-09-30,
"Ca-¦on City, CO",2001-09-30,
"Montrose, CO",2001-09-30,140935.95619821482
"Breckenridge, CO",2001-09-30,
"Fort Morgan, CO",2001-09-30,
"Steamboat Springs, CO",2001-09-30,262872.6619765781
"Sterling, CO",2001-09-30,102892.13632353948
"Craig, CO",2001-09-30,111685.45634824564
"Denver, CO",2001-10-31,238600.5650361365
"Colorado Springs, CO",2001-10-31,190337.54613736004
"Fort Collins, CO",2001-10-31,231583.0012126476
"Boulder, CO",2001-10-31,296509.93320377375
"Greeley, CO",2001-10-31,200249.4516871659
"Pueblo, CO",2001-10-31,113692.817964104
"Grand Junction, CO",2001-10-31,150931.00547045414
"Glenwood Springs, CO",2001-10-31,232313.89477514973
"Edwards, CO",2001-10-31,341307.27120198734
"Durango, CO",2001-10-31,
"Ca-¦on City, CO",2001-10-31,
"Montrose, CO",2001-10-31,141350.42069131884
"Breckenridge, CO",2001-10-31,
"Fort Morgan, CO",2001-10-31,
"Steamboat Springs, CO",2001-10-31,263994.5011158714
"Sterling, CO",2001-10-31,103020.52765254508
"Craig, CO",2001-10-31,112016.1666451634
"Denver, CO",2001-11-30,239730.299136909
"Colorado Springs, CO",2001-11-30,191367.33252294685
"Fort Collins, CO",2001-11-30,232975.50934879849
"Boulder, CO",2001-11-30,298473.9826292186
"Greeley, CO",2001-11-30,201701.1934870558
"Pueblo, CO",2001-11-30,113883.35529375402
"Grand Junction, CO",2001-11-30,151503.8418145832
"Glenwood Springs, CO",2001-11-30,232970.8138711235
"Edwards, CO",2001-11-30,342056.74145399453
"Durango, CO",2001-11-30,
"Ca-¦on City, CO",2001-11-30,
"Montrose, CO",2001-11-30,141689.31719557635
"Breckenridge, CO",2001-11-30,
"Fort Morgan, CO",2001-11-30,
"Steamboat Springs, CO",2001-11-30,265241.97078686586
"Sterling, CO",2001-11-30,103086.23827145965
"Craig, CO",2001-11-30,112548.75876007952
"Denver, CO",2001-12-31,240570.26807520012
"Colorado Springs, CO",2001-12-31,192221.85693183413
"Fort Collins, CO",2001-12-31,234245.0455517973
"Boulder, CO",2001-12-31,299986.50175038737
"Greeley, CO",2001-12-31,202983.55594208607
"Pueblo, CO",2001-12-31,114058.39250538376
"Grand Junction, CO",2001-12-31,152043.588940334
"Glenwood Springs, CO",2001-12-31,233806.70255937031
"Edwards, CO",2001-12-31,342653.61150797264
"Durango, CO",2001-12-31,
"Ca-¦on City, CO",2001-12-31,
"Montrose, CO",2001-12-31,141990.44454832692
"Breckenridge, CO",2001-12-31,
"Fort Morgan, CO",2001-12-31,
"Steamboat Springs, CO",2001-12-31,266427.0073437013
"Sterling, CO",2001-12-31,103272.20646699236
"Craig, CO",2001-12-31,113058.76545328826
"Denver, CO",2002-01-31,241011.8421280704
"Colorado Springs, CO",2002-01-31,192940.55569905185
"Fort Collins, CO",2002-01-31,234602.70927990423
"Boulder, CO",2002-01-31,300961.0316415857
"Greeley, CO",2002-01-31,203917.1981557097
"Pueblo, CO",2002-01-31,114212.89063232458
"Grand Junction, CO",2002-01-31,152606.75811224084
"Glenwood Springs, CO",2002-01-31,234339.06301431276
"Edwards, CO",2002-01-31,343215.91394367977
"Durango, CO",2002-01-31,
"Ca-¦on City, CO",2002-01-31,
"Montrose, CO",2002-01-31,142380.85528046542
"Breckenridge, CO",2002-01-31,
"Fort Morgan, CO",2002-01-31,
"Steamboat Springs, CO",2002-01-31,267345.5382519529
"Sterling, CO",2002-01-31,103341.52085433206
"Craig, CO",2002-01-31,113234.1716758043
"Denver, CO",2002-02-28,241459.29406449385
"Colorado Springs, CO",2002-02-28,193340.95230260308
"Fort Collins, CO",2002-02-28,235381.83161316023
"Boulder, CO",2002-02-28,301009.13567416306
"Greeley, CO",2002-02-28,204811.17940299123
"Pueblo, CO",2002-02-28,114364.9798167384
"Grand Junction, CO",2002-02-28,153156.76137659556
"Glenwood Springs, CO",2002-02-28,235050.9806970248
"Edwards, CO",2002-02-28,343557.52135308593
"Durango, CO",2002-02-28,
"Ca-¦on City, CO",2002-02-28,
"Montrose, CO",2002-02-28,142895.82835181855
"Breckenridge, CO",2002-02-28,
"Fort Morgan, CO",2002-02-28,
"Steamboat Springs, CO",2002-02-28,268122.86229509726
"Sterling, CO",2002-02-28,103545.53303705994
"Craig, CO",2002-02-28,113286.6524959184
"Denver, CO",2002-03-31,242209.51528338765
"Colorado Springs, CO",2002-03-31,193642.5771919093
"Fort Collins, CO",2002-03-31,236169.7965269297
"Boulder, CO",2002-03-31,301418.8671895934
"Greeley, CO",2002-03-31,205944.64957555625
"Pueblo, CO",2002-03-31,114492.48500395696
"Grand Junction, CO",2002-03-31,153938.49175730138
"Glenwood Springs, CO",2002-03-31,235737.65556667055
"Edwards, CO",2002-03-31,343732.5351924853
"Durango, CO",2002-03-31,
"Ca-¦on City, CO",2002-03-31,
"Montrose, CO",2002-03-31,143407.60803016517
"Breckenridge, CO",2002-03-31,
"Fort Morgan, CO",2002-03-31,
"Steamboat Springs, CO",2002-03-31,268950.69914204354
"Sterling, CO",2002-03-31,103748.05120853946
"Craig, CO",2002-03-31,113492.21888593223
"Denver, CO",2002-04-30,243194.33538008927
"Colorado Springs, CO",2002-04-30,193779.24513018943
"Fort Collins, CO",2002-04-30,237374.4206986112
"Boulder, CO",2002-04-30,302280.10997940524
"Greeley, CO",2002-04-30,207185.0112689605
"Pueblo, CO",2002-04-30,114685.76162046446
"Grand Junction, CO",2002-04-30,154746.35873946373
"Glenwood Springs, CO",2002-04-30,236667.0809892256
"Edwards, CO",2002-04-30,343757.967376433
"Durango, CO",2002-04-30,
"Ca-¦on City, CO",2002-04-30,
"Montrose, CO",2002-04-30,143878.63444563188
"Breckenridge, CO",2002-04-30,
"Fort Morgan, CO",2002-04-30,
"Steamboat Springs, CO",2002-04-30,269979.94350622373
"Sterling, CO",2002-04-30,104022.64180985228
"Craig, CO",2002-04-30,114141.86827113718
"Denver, CO",2002-05-31,244251.2678619542
"Colorado Springs, CO",2002-05-31,194093.5637562302
"Fort Collins, CO",2002-05-31,238426.59577495107
"Boulder, CO",2002-05-31,303921.1085514384
"Greeley, CO",2002-05-31,208607.0256059858
"Pueblo, CO",2002-05-31,115038.08455964037
"Grand Junction, CO",2002-05-31,155713.80906591195
