Metro,Date,ZHVI
"Boulder, CO",2019-07-31,558560.0530018088
"Greeley, CO",2019-07-31,378938.1387497788
"Pueblo, CO",2019-07-31,194194.13041110316
"Grand Junction, CO",2019-07-31,272340.0320867389
"Glenwood Springs, CO",2019-07-31,550271.9016763399
"Edwards, CO",2019-07-31,693290.3803000128
"Durango, CO",2019-07-31,420794.1466818815
"Ca-¦on City, CO",2019-07-31,224061.98536429412
"Montrose, CO",2019-07-31,299070.57680693385
"Breckenridge, CO",2019-07-31,716450.5082535091
"Fort Morgan, CO",2019-07-31,232296.75921552253
"Steamboat Springs, CO",2019-07-31,582960.6909858542
"Sterling, CO",2019-07-31,170636.32761696176
"Craig, CO",2019-07-31,181784.9151797353
"Denver, CO",2019-08-31,440991.65050340974
"Colorado Springs, CO",2019-08-31,335260.60704900627
"Fort Collins, CO",2019-08-31,421940.6891386
"Boulder, CO",2019-08-31,560223.4878338921
"Greeley, CO",2019-08-31,380103.1594691255
"Pueblo, CO",2019-08-31,195600.04533263168
"Grand Junction, CO",2019-08-31,273693.0637745405
"Glenwood Springs, CO",2019-08-31,551226.3892250158
"Edwards, CO",2019-08-31,696378.0670469735
"Durango, CO",2019-08-31,421391.0210014389
"Ca-¦on City, CO",2019-08-31,225104.19843398512
"Montrose, CO",2019-08-31,301981.55028795206
"Breckenridge, CO",2019-08-31,720109.5400115381
"Fort Morgan, CO",2019-08-31,233406.1080538545
"Steamboat Springs, CO",2019-08-31,586163.9177748341
"Sterling, CO",2019-08-31,171188.90722577227
"Craig, CO",2019-08-31,183212.5692502774
"Denver, CO",2019-09-30,441748.01759408
"Colorado Springs, CO",2019-09-30,336840.62263338204
"Fort Collins, CO",2019-09-30,422208.8411707308
"Boulder, CO",2019-09-30,561799.1530082125
"Greeley, CO",2019-09-30,381249.0000408716
"Pueblo, CO",2019-09-30,196935.4762458941
"Grand Junction, CO",2019-09-30,274708.24785385
"Glenwood Springs, CO",2019-09-30,552285.404900051
"Edwards, CO",2019-09-30,699723.8019701949
"Durango, CO",2019-09-30,422506.67160052777
"Ca-¦on City, CO",2019-09-30,226319.5732455057
"Montrose, CO",2019-09-30,304576.79293311766
"Breckenridge, CO",2019-09-30,723566.6948146384
"Fort Morgan, CO",2019-09-30,234045.3676349088
"Steamboat Springs, CO",2019-09-30,588184.4650004747
"Sterling, CO",2019-09-30,171499.57167487344
"Craig, CO",2019-09-30,184055.1901367417
"Denver, CO",2019-10-31,443114.1732794254
"Colorado Springs, CO",2019-10-31,338874.2278367281
"Fort Collins, CO",2019-10-31,422539.5001077084
"Boulder, CO",2019-10-31,563608.1848681481
"Greeley, CO",2019-10-31,382712.2186009802
"Pueblo, CO",2019-10-31,198504.3519677536
"Grand Junction, CO",2019-10-31,275756.54056818126
"Glenwood Springs, CO",2019-10-31,553310.808205898
"Edwards, CO",2019-10-31,702552.9488372052
"Durango, CO",2019-10-31,423099.30763775646
"Ca-¦on City, CO",2019-10-31,227741.2162321901
"Montrose, CO",2019-10-31,306698.2217078192
"Breckenridge, CO",2019-10-31,725593.5656360472
"Fort Morgan, CO",2019-10-31,235158.24179043656
"Steamboat Springs, CO",2019-10-31,589556.3912756288
"Sterling, CO",2019-10-31,172373.82780113173
"Craig, CO",2019-10-31,184801.839119424
"Denver, CO",2019-11-30,445038.8055369193
"Colorado Springs, CO",2019-11-30,341465.3725992138
"Fort Collins, CO",2019-11-30,423517.32454721694
"Boulder, CO",2019-11-30,565808.8261498677
"Greeley, CO",2019-11-30,384335.19704459695
"Pueblo, CO",2019-11-30,200152.6063003624
"Grand Junction, CO",2019-11-30,277314.6818113136
"Glenwood Springs, CO",2019-11-30,555205.9528798889
"Edwards, CO",2019-11-30,705145.3840706005
"Durango, CO",2019-11-30,423908.2698513567
"Ca-¦on City, CO",2019-11-30,229430.86948952705
"Montrose, CO",2019-11-30,308400.834482073
"Breckenridge, CO",2019-11-30,726704.5396689507
"Fort Morgan, CO",2019-11-30,236675.07713790715
"Steamboat Springs, CO",2019-11-30,591085.8893786521
"Sterling, CO",2019-11-30,173470.82797696406
"Craig, CO",2019-11-30,185283.0524409668
"Denver, CO",2019-12-31,447283.028640775
"Colorado Springs, CO",2019-12-31,344487.62428563816
"Fort Collins, CO",2019-12-31,425065.009348872
"Boulder, CO",2019-12-31,568370.0095266384
"Greeley, CO",2019-12-31,386129.9563048391
"Pueblo, CO",2019-12-31,201844.92390330997
"Grand Junction, CO",2019-12-31,279278.34848608536
"Glenwood Springs, CO",2019-12-31,557384.4210022899
"Edwards, CO",2019-12-31,707513.1767495907
"Durango, CO",2019-12-31,424578.23062594025
"Ca-¦on City, CO",2019-12-31,231022.28708923605
"Montrose, CO",2019-12-31,310410.0610836801
"Breckenridge, CO",2019-12-31,727581.1384628187
"Fort Morgan, CO",2019-12-31,238739.9543789803
"Steamboat Springs, CO",2019-12-31,593285.9497194034
"Sterling, CO",2019-12-31,174766.463480061
"Craig, CO",2019-12-31,185990.16225460125
"Denver, CO",2020-01-31,449727.3965384432
"Colorado Springs, CO",2020-01-31,347484.52095184434
"Fort Collins, CO",2020-01-31,426798.3129316788
"Boulder, CO",2020-01-31,571895.0572047345
"Greeley, CO",2020-01-31,388302.7039701149
"Pueblo, CO",2020-01-31,203344.2146790661
"Grand Junction, CO",2020-01-31,281396.3168592897
"Glenwood Springs, CO",2020-01-31,559917.6483542421
"Edwards, CO",2020-01-31,707303.536588908
"Durango, CO",2020-01-31,426001.0250044625
"Ca-¦on City, CO",2020-01-31,233107.61139919545
"Montrose, CO",2020-01-31,312257.5921019076
"Breckenridge, CO",2020-01-31,728823.5091059237
"Fort Morgan, CO",2020-01-31,240253.1605738163
"Steamboat Springs, CO",2020-01-31,596207.3471444616
"Sterling, CO",2020-01-31,175934.80979099555
"Craig, CO",2020-01-31,186859.78928040597
"Denver, CO",2020-02-29,452588.5436832628
"Colorado Springs, CO",2020-02-29,350321.2440320309
"Fort Collins, CO",2020-02-29,428724.4584639854
"Boulder, CO",2020-02-29,575871.2924343337
"Greeley, CO",2020-02-29,390375.54395003925
"Pueblo, CO",2020-02-29,204846.4167928547
"Grand Junction, CO",2020-02-29,283364.0154306863
"Glenwood Springs, CO",2020-02-29,562992.6430539043
"Edwards, CO",2020-02-29,706589.5874989285
"Durango, CO",2020-02-29,427460.0174924345
"Ca-¦on City, CO",2020-02-29,235628.97940882773
"Montrose, CO",2020-02-29,314101.0694317153
"Breckenridge, CO",2020-02-29,729839.4768850362
"Fort Morgan, CO",2020-02-29,241723.36871536652
"Steamboat Springs, CO",2020-02-29,600083.645637947
"Sterling, CO",2020-02-29,177145.62878285348
"Craig, CO",2020-02-29,187859.03793183828
"Denver, CO",2020-03-31,456045.8082649824
"Colorado Springs, CO",2020-03-31,353388.64255193
"Fort Collins, CO",2020-03-31,430479.5525540464
"Boulder, CO",2020-03-31,580003.629090995
"Greeley, CO",2020-03-31,392625.0769580857
"Pueblo, CO",2020-03-31,206537.4095806685
"Grand Junction, CO",2020-03-31,285307.4589557194
"Glenwood Springs, CO",2020-03-31,566210.2510945159
"Edwards, CO",2020-03-31,706043.6341274722
"Durango, CO",2020-03-31,429355.2562696237
"Ca-¦on City, CO",2020-03-31,238627.7794993523
"Montrose, CO",2020-03-31,315968.982628989
"Breckenridge, CO",2020-03-31,731313.416497156
"Fort Morgan, CO",2020-03-31,242992.7954408899
"Steamboat Springs, CO",2020-03-31,604267.5367776252
"Sterling, CO",2020-03-31,178352.6184900486
"Craig, CO",2020-03-31,189392.0165028314
"Denver, CO",2020-04-30,459428.0294636886
"Colorado Springs, CO",2020-04-30,356763.3249690615
"Fort Collins, CO",2020-04-30,431954.6409710357
"Boulder, CO",2020-04-30,583282.8978223166
"Greeley, CO",2020-04-30,394213.7357718001
"Pueblo, CO",2020-04-30,208626.96021170676
"Grand Junction, CO",2020-04-30,287252.39927108685
"Glenwood Springs, CO",2020-04-30,569343.2619541547
"Edwards, CO",2020-04-30,708378.8907798332
"Durango, CO",2020-04-30,430691.0788690497
"Ca-¦on City, CO",2020-04-30,241179.6131859207
"Montrose, CO",2020-04-30,317906.95137389173
"Breckenridge, CO",2020-04-30,735366.7206206938
"Fort Morgan, CO",2020-04-30,244901.49227592908
"Steamboat Springs, CO",2020-04-30,608658.5181498075
"Sterling, CO",2020-04-30,179419.58217976757
"Craig, CO",2020-04-30,191193.36965195413
"Denver, CO",2020-05-31,460872.63513624266
"Colorado Springs, CO",2020-05-31,359485.8876488414
"Fort Collins, CO",2020-05-31,432236.6952249665
"Boulder, CO",2020-05-31,583883.6184044237
"Greeley, CO",2020-05-31,395044.648567939
"Pueblo, CO",2020-05-31,210417.4254664797
"Grand Junction, CO",2020-05-31,288731.39427566284
"Glenwood Springs, CO",2020-05-31,570319.2905558873
"Edwards, CO",2020-05-31,708978.4780419227
"Durango, CO",2020-05-31,430887.160706698
"Ca-¦on City, CO",2020-05-31,242424.1646511274
"Montrose, CO",2020-05-31,318956.1306610368
"Breckenridge, CO",2020-05-31,737434.8365173772
"Fort Morgan, CO",2020-05-31,246694.8221524889
"Steamboat Springs, CO",2020-05-31,610654.394873587
"Sterling, CO",2020-05-31,180200.31229328373
"Craig, CO",2020-05-31,192524.4277687266
"Denver, CO",2020-06-30,460868.9040417778
"Colorado Springs, CO",2020-06-30,360771.880985612
"Fort Collins, CO",2020-06-30,431840.23275965214
"Boulder, CO",2020-06-30,582558.0831202536
"Greeley, CO",2020-06-30,395282.3890302658
"Pueblo, CO",2020-06-30,212153.6402542926
"Grand Junction, CO",2020-06-30,289952.0237757447
"Glenwood Springs, CO",2020-06-30,569271.2845778622
"Edwards, CO",2020-06-30,707711.7759169834
"Durango, CO",2020-06-30,430104.8413796639
"Ca-¦on City, CO",2020-06-30,243033.9437335334
"Montrose, CO",2020-06-30,319647.2221198117
"Breckenridge, CO",2020-06-30,739368.0790561187
"Fort Morgan, CO",2020-06-30,248212.8412566264
"Steamboat Springs, CO",2020-06-30,610394.3524113116
"Sterling, CO",2020-06-30,180815.88740086852
"Craig, CO",2020-06-30,193288.03778460607
"Denver, CO",2020-07-31,460724.5899168266
"Colorado Springs, CO",2020-07-31,361299.66930877697
"Fort Collins, CO",2020-07-31,431895.1848590298
"Boulder, CO",2020-07-31,581027.6258973443
"Greeley, CO",2020-07-31,395866.9240062189
"Pueblo, CO",2020-07-31,214250.12607719368
"Grand Junction, CO",2020-07-31,291250.5394693534
"Glenwood Springs, CO",2020-07-31,568503.1682076901
"Edwards, CO",2020-07-31,707394.4400766856
"Durango, CO",2020-07-31,430016.9333652256
"Ca-¦on City, CO",2020-07-31,243830.2402057679
"Montrose, CO",2020-07-31,320523.80000732635
"Breckenridge, CO",2020-07-31,739857.0453181228
"Fort Morgan, CO",2020-07-31,249982.3125543575
"Steamboat Springs, CO",2020-07-31,609566.6197220087
"Sterling, CO",2020-07-31,181846.13627091248
"Craig, CO",2020-07-31,193926.21342093623
"Denver, CO",2020-08-31,462495.0433603569
"Colorado Springs, CO",2020-08-31,362554.6239311562
"Fort Collins, CO",2020-08-31,433359.1187975965
"Boulder, CO",2020-08-31,582143.0224806088
"Greeley, CO",2020-08-31,397692.7561017884
"Pueblo, CO",2020-08-31,217383.75252171108
"Grand Junction, CO",2020-08-31,293275.3116927644
"Glenwood Springs, CO",2020-08-31,570406.46327683
"Edwards, CO",2020-08-31,710485.0204552138
"Durango, CO",2020-08-31,431910.0297412367
"Ca-¦on City, CO",2020-08-31,245641.6053505021
"Montrose, CO",2020-08-31,322633.70521499286
"Breckenridge, CO",2020-08-31,743582.6637306996
"Fort Morgan, CO",2020-08-31,252108.69376123973
"Steamboat Springs, CO",2020-08-31,613365.6987693096
"Sterling, CO",2020-08-31,183696.3236265128
"Craig, CO",2020-08-31,195221.46995613584
"Denver, CO",2020-09-30,466724.0469903961
"Colorado Springs, CO",2020-09-30,365369.73858605983
"Fort Collins, CO",2020-09-30,436799.06399673416
"Boulder, CO",2020-09-30,586829.8933472439
"Greeley, CO",2020-09-30,401049.0782505726
"Pueblo, CO",2020-09-30,221435.89482587864
"Grand Junction, CO",2020-09-30,296502.27390899666
"Glenwood Springs, CO",2020-09-30,576895.1817040457
"Edwards, CO",2020-09-30,718449.918039418
"Durango, CO",2020-09-30,436446.3640133319
"Ca-¦on City, CO",2020-09-30,248605.31042315028
"Montrose, CO",2020-09-30,325947.86162500974
"Breckenridge, CO",2020-09-30,748909.8340134366
"Fort Morgan, CO",2020-09-30,255135.97635291805
"Steamboat Springs, CO",2020-09-30,622544.5625801631
"Sterling, CO",2020-09-30,186477.09190415507
"Craig, CO",2020-09-30,197169.6897560988
"Denver, CO",2020-10-31,472580.93565252936
"Colorado Springs, CO",2020-10-31,369468.0148449536
"Fort Collins, CO",2020-10-31,441232.3790832041
"Boulder, CO",2020-10-31,593234.608383211
"Greeley, CO",2020-10-31,405216.7283588205
"Pueblo, CO",2020-10-31,225617.37901667404
"Grand Junction, CO",2020-10-31,300163.72351310094
"Glenwood Springs, CO",2020-10-31,586038.4065791905
"Edwards, CO",2020-10-31,733070.5504515766
"Durango, CO",2020-10-31,442236.1901408565
"Ca-¦on City, CO",2020-10-31,251953.16671952055
"Montrose, CO",2020-10-31,330206.37095671
"Breckenridge, CO",2020-10-31,758596.3465140876
"Fort Morgan, CO",2020-10-31,258561.6468720848
"Steamboat Springs, CO",2020-10-31,635830.2211018779
"Sterling, CO",2020-10-31,189319.3570731176
"Craig, CO",2020-10-31,199497.7511150282
"Denver, CO",2020-11-30,479266.16781077726
"Colorado Springs, CO",2020-11-30,374389.5895001493
"Fort Collins, CO",2020-11-30,446320.2744641917
"Boulder, CO",2020-11-30,600632.4043645315
"Greeley, CO",2020-11-30,409895.3756110371
"Pueblo, CO",2020-11-30,229841.5492203228
"Grand Junction, CO",2020-11-30,303951.9048151954
"Glenwood Springs, CO",2020-11-30,598481.3984145703
"Edwards, CO",2020-11-30,754057.0159161901
"Durango, CO",2020-11-30,448647.52103881
"Ca-¦on City, CO",2020-11-30,255771.71943975345
"Montrose, CO",2020-11-30,334901.2043234052
"Breckenridge, CO",2020-11-30,770598.0594778266
"Fort Morgan, CO",2020-11-30,262454.6217624535
"Steamboat Springs, CO",2020-11-30,652012.4407139261
"Sterling, CO",2020-11-30,192120.5512680769
"Craig, CO",2020-11-30,202142.3766491354
"Denver, CO",2020-12-31,485665.8753070054
"Colorado Springs, CO",2020-12-31,380111.6463698661
"Fort Collins, CO",2020-12-31,450927.3961585499
"Boulder, CO",2020-12-31,607078.053805192
"Greeley, CO",2020-12-31,414335.8734465272
"Pueblo, CO",2020-12-31,233943.86270033492
"Grand Junction, CO",2020-12-31,307121.75844919693
"Glenwood Springs, CO",2020-12-31,611878.0200093883
"Edwards, CO",2020-12-31,778958.2462626215
"Durango, CO",2020-12-31,454591.3768759573
"Ca-¦on City, CO",2020-12-31,258995.1545566118
"Montrose, CO",2020-12-31,339636.2714497757
"Breckenridge, CO",2020-12-31,785053.9807091985
"Fort Morgan, CO",2020-12-31,266417.0336983913
"Steamboat Springs, CO",2020-12-31,670585.0935700698
"Sterling, CO",2020-12-31,194514.5533838232
"Craig, CO",2020-12-31,204336.36451136795
"Denver, CO",2021-01-31,491684.4120077223
"Colorado Springs, CO",2021-01-31,386208.2498697485
"Fort Collins, CO",2021-01-31,455128.7689585575
"Boulder, CO",2021-01-31,613360.6014073165
"Greeley, CO",2021-01-31,419023.23843797104
"Pueblo, CO",2021-01-31,237904.412439568
"Grand Junction, CO",2021-01-31,310300.9220295464
"Glenwood Springs, CO",2021-01-31,625292.7846158245
"Edwards, CO",2021-01-31,803237.189677934
"Durango, CO",2021-01-31,459430.0222172652
"Ca-¦on City, CO",2021-01-31,262469.32557729416
"Montrose, CO",2021-01-31,343516.4443584178
"Breckenridge, CO",2021-01-31,797855.2256921238
"Fort Morgan, CO",2021-01-31,269713.8927828369
"Steamboat Springs, CO",2021-01-31,689050.0108737001
"Sterling, CO",2021-01-31,196361.2648232244
"Craig, CO",2021-01-31,205999.35623000187
"Denver, CO",2021-02-28,498642.5182404656
"Colorado Springs, CO",2021-02-28,393068.255147492
"Fort Collins, CO",2021-02-28,460039.07698751776
"Boulder, CO",2021-02-28,620655.7200871119
"Greeley, CO",2021-02-28,424399.7824638959
"Pueblo, CO",2021-02-28,241929.466718892
"Grand Junction, CO",2021-02-28,314247.8134461955
"Glenwood Springs, CO",2021-02-28,637773.3266004866
"Edwards, CO",2021-02-28,825228.6523417057
"Durango, CO",2021-02-28,464238.7081260893
"Ca-¦on City, CO",2021-02-28,266218.42126927624
"Montrose, CO",2021-02-28,348270.3051773119
"Breckenridge, CO",2021-02-28,810630.1337990634
"Fort Morgan, CO",2021-02-28,272567.1171418181
"Steamboat Springs, CO",2021-02-28,707034.7052862
"Sterling, CO",2021-02-28,197621.93895787332
"Craig, CO",2021-02-28,207650.7494942369
"Denver, CO",2021-03-31,507540.3916405861
"Colorado Springs, CO",2021-03-31,400969.668592558
"Fort Collins, CO",2021-03-31,466272.49553518
"Boulder, CO",2021-03-31,630707.9619901115
"Greeley, CO",2021-03-31,430577.1187132901
"Pueblo, CO",2021-03-31,246163.78910793457
"Grand Junction, CO",2021-03-31,319166.8581859422
"Glenwood Springs, CO",2021-03-31,650873.6184262218
"Edwards, CO",2021-03-31,846198.6345233292
"Durango, CO",2021-03-31,469378.9184311781
"Ca-¦on City, CO",2021-03-31,271234.4879461962
"Montrose, CO",2021-03-31,354095.0856803564
"Breckenridge, CO",2021-03-31,822015.2653372503
"Fort Morgan, CO",2021-03-31,275225.4098836124
"Steamboat Springs, CO",2021-03-31,723864.488268946
"Sterling, CO",2021-03-31,199006.78117967016
"Craig, CO",2021-03-31,209677.953649946
"Denver, CO",2021-04-30,518078.2206783919
"Colorado Springs, CO",2021-04-30,409474.9552144773
"Fort Collins, CO",2021-04-30,473762.9126604432
"Boulder, CO",2021-04-30,643180.7663614433
"Greeley, CO",2021-04-30,437246.24107133294
"Pueblo, CO",2021-04-30,251093.82085312204
"Grand Junction, CO",2021-04-30,324919.7075812516
"Glenwood Springs, CO",2021-04-30,665257.842679954
"Edwards, CO",2021-04-30,867332.7633394381
"Durango, CO",2021-04-30,476903.064751513
"Ca-¦on City, CO",2021-04-30,276867.6522036851
"Montrose, CO",2021-04-30,361744.5621289554
"Breckenridge, CO",2021-04-30,836550.5923145883
"Fort Morgan, CO",2021-04-30,278376.98910846
"Steamboat Springs, CO",2021-04-30,743902.9814887479
"Sterling, CO",2021-04-30,201233.3691449761
"Craig, CO",2021-04-30,211947.0962682381
"Denver, CO",2021-05-31,529301.3486993866
"Colorado Springs, CO",2021-05-31,418290.9788578861
"Fort Collins, CO",2021-05-31,481790.545999365
"Boulder, CO",2021-05-31,657914.5763013344
"Greeley, CO",2021-05-31,444633.6939285973
"Pueblo, CO",2021-05-31,257037.4270836175
"Grand Junction, CO",2021-05-31,331561.3961630877
"Glenwood Springs, CO",2021-05-31,681790.321630586
"Edwards, CO",2021-05-31,890355.7115348385
"Durango, CO",2021-05-31,486404.1236629959
"Ca-¦on City, CO",2021-05-31,282820.5368142196
"Montrose, CO",2021-05-31,370619.62882819
"Breckenridge, CO",2021-05-31,857833.1461678612
"Fort Morgan, CO",2021-05-31,282077.3693565918
"Steamboat Springs, CO",2021-05-31,768122.6382006797
"Sterling, CO",2021-05-31,204608.1844398017
"Craig, CO",2021-05-31,214702.79350647188
"Denver, CO",2021-06-30,539967.2425725552
"Colorado Springs, CO",2021-06-30,426354.73252638057
"Fort Collins, CO",2021-06-30,490073.1429194709
"Boulder, CO",2021-06-30,673226.7381120234
"Greeley, CO",2021-06-30,452528.5480746371
"Pueblo, CO",2021-06-30,263705.30899276555
"Grand Junction, CO",2021-06-30,338690.4547796632
"Glenwood Springs, CO",2021-06-30,698482.999910733
"Edwards, CO",2021-06-30,911666.8190010624
"Durango, CO",2021-06-30,496526.37182325096
"Ca-¦on City, CO",2021-06-30,288682.59152585646
"Montrose, CO",2021-06-30,379988.5028764275
"Breckenridge, CO",2021-06-30,883426.3476970893
"Fort Morgan, CO",2021-06-30,285901.4302380255
"Steamboat Springs, CO",2021-06-30,793343.6355625256
"Sterling, CO",2021-06-30,208647.78142663048
"Craig, CO",2021-06-30,217521.19367046608
"Denver, CO",2021-07-31,548236.3344099254
"Colorado Springs, CO",2021-07-31,433125.3779060473
"Fort Collins, CO",2021-07-31,497747.3697991892
"Boulder, CO",2021-07-31,685711.9833431245
"Greeley, CO",2021-07-31,460092.3075515059
"Pueblo, CO",2021-07-31,269615.14631882246
"Grand Junction, CO",2021-07-31,345692.17176036263
"Glenwood Springs, CO",2021-07-31,713095.7626534243
"Edwards, CO",2021-07-31,927785.6387570668
"Durango, CO",2021-07-31,505972.3213045393
"Ca-¦on City, CO",2021-07-31,293414.75046101486
"Montrose, CO",2021-07-31,388574.7448910345
"Breckenridge, CO",2021-07-31,907519.88781144
"Fort Morgan, CO",2021-07-31,289579.57679134724
"Steamboat Springs, CO",2021-07-31,814222.744913312
"Sterling, CO",2021-07-31,212281.40445405207
"Craig, CO",2021-07-31,220232.1407471352
"Denver, CO",2021-08-31,553393.8621277075
"Colorado Springs, CO",2021-08-31,437999.1667308048
"Fort Collins, CO",2021-08-31,503865.8829155813
"Boulder, CO",2021-08-31,692309.6742344027
"Greeley, CO",2021-08-31,466214.28468748025
"Pueblo, CO",2021-08-31,273530.9780679422
"Grand Junction, CO",2021-08-31,351457.41180223384
"Glenwood Springs, CO",2021-08-31,724414.7812232577
"Edwards, CO",2021-08-31,940453.6754254716
"Durango, CO",2021-08-31,513456.2705420155
"Ca-¦on City, CO",2021-08-31,297307.6047640747
"Montrose, CO",2021-08-31,394859.41156014055
"Breckenridge, CO",2021-08-31,926276.8815832972
"Fort Morgan, CO",2021-08-31,292956.8579589342
"Steamboat Springs, CO",2021-08-31,829780.3906168551
"Sterling, CO",2021-08-31,215108.777303846
"Craig, CO",2021-08-31,222340.31781543157
"Denver, CO",2021-09-30,556008.208031787
"Colorado Springs, CO",2021-09-30,441418.6786727588
"Fort Collins, CO",2021-09-30,508261.5589283861
"Boulder, CO",2021-09-30,693987.3818222274
"Greeley, CO",2021-09-30,470936.532791699
"Pueblo, CO",2021-09-30,275739.9636401187
"Grand Junction, CO",2021-09-30,355563.80995591125
"Glenwood Springs, CO",2021-09-30,734537.4265622855
"Edwards, CO",2021-09-30,953644.0358509108
"Durango, CO",2021-09-30,520306.77210608014
"Ca-¦on City, CO",2021-09-30,300156.7152188443
"Montrose, CO",2021-09-30,398789.0230628385
"Breckenridge, CO",2021-09-30,944087.0229783566
"Fort Morgan, CO",2021-09-30,296000.7221836787
"Steamboat Springs, CO",2021-09-30,843751.7460801653
"Sterling, CO",2021-09-30,216554.58270940257
"Craig, CO",2021-09-30,223815.56828525933
"Denver, CO",2021-10-31,558872.8128602657
"Colorado Springs, CO",2021-10-31,445070.5112066639
"Fort Collins, CO",2021-10-31,512310.8814541137
"Boulder, CO",2021-10-31,695392.7443338836
"Greeley, CO",2021-10-31,475671.0770665288
"Pueblo, CO",2021-10-31,277819.997328741
"Grand Junction, CO",2021-10-31,358966.6199314248
"Glenwood Springs, CO",2021-10-31,745176.1541250584
"Edwards, CO",2021-10-31,970116.0858010794
"Durango, CO",2021-10-31,528170.1273801071
"Ca-¦on City, CO",2021-10-31,303252.73251444765
"Montrose, CO",2021-10-31,401919.0966904544
"Breckenridge, CO",2021-10-31,964552.3736639768
"Fort Morgan, CO",2021-10-31,299384.24813259585
"Steamboat Springs, CO",2021-10-31,857706.0242976615
"Sterling, CO",2021-10-31,217762.046781578
"Craig, CO",2021-10-31,225893.78909772277
"Denver, CO",2021-11-30,563273.6091304296
"Colorado Springs, CO",2021-11-30,449834.8848169765
"Fort Collins, CO",2021-11-30,517163.981059107
"Boulder, CO",2021-11-30,699649.6095381781
"Greeley, CO",2021-11-30,481321.2584226467
"Pueblo, CO",2021-11-30,280507.53264575807
"Grand Junction, CO",2021-11-30,362175.1564571673
"Glenwood Springs, CO",2021-11-30,756444.1552135831
"Edwards, CO",2021-11-30,988574.7959436136
"Durango, CO",2021-11-30,537098.5014109033
"Ca-¦on City, CO",2021-11-30,306864.721778809
"Montrose, CO",2021-11-30,405882.4838016112
"Breckenridge, CO",2021-11-30,985778.185552252
"Fort Morgan, CO",2021-11-30,303095.18372379016
"Steamboat Springs, CO",2021-11-30,873652.7948678783
"Sterling, CO",2021-11-30,219321.0713580285
"Craig, CO",2021-11-30,228826.2494035648
"Denver, CO",2021-12-31,569055.2870970682
"Colorado Springs, CO",2021-12-31,455364.64282148174
"Fort Collins, CO",2021-12-31,522676.3535686722
"Boulder, CO",2021-12-31,706176.5411386737
"Greeley, CO",2021-12-31,487463.8501897315
"Pueblo, CO",2021-12-31,283234.66564391064
"Grand Junction, CO",2021-12-31,365688.6030987901
"Glenwood Springs, CO",2021-12-31,766462.7777812722
"Edwards, CO",2021-12-31,1008338.7406133407
"Durango, CO",2021-12-31,547413.1876939968
"Ca-¦on City, CO",2021-12-31,310638.9897903102
"Montrose, CO",2021-12-31,410759.8191546008
"Breckenridge, CO",2021-12-31,1005032.6903367247
"Fort Morgan, CO",2021-12-31,307073.41826820263
"Steamboat Springs, CO",2021-12-31,891359.3053725926
"Sterling, CO",2021-12-31,221410.839309228
"Craig, CO",2021-12-31,232831.3737450679
"Denver, CO",2022-01-31,577630.514307485
"Colorado Springs, CO",2022-01-31,461849.8515546431
"Fort Collins, CO",2022-01-31,529790.3426063214
"Boulder, CO",2022-01-31,717264.2547798346
"Greeley, CO",2022-01-31,493974.5375556951
"Pueblo, CO",2022-01-31,286855.3901988607
"Grand Junction, CO",2022-01-31,369741.4343922969
"Glenwood Springs, CO",2022-01-31,777521.183838107
"Edwards, CO",2022-01-31,1029069.4674725285
"Durango, CO",2022-01-31,558590.2286953371
"Ca-¦on City, CO",2022-01-31,315338.55348842475
"Montrose, CO",2022-01-31,417430.2542369603
"Breckenridge, CO",2022-01-31,1023120.3570003152
"Fort Morgan, CO",2022-01-31,311155.45420425496
"Steamboat Springs, CO",2022-01-31,912872.3045285464
"Sterling, CO",2022-01-31,224487.8114301688
"Craig, CO",2022-01-31,237384.94096001383
"Denver, CO",2022-02-28,589414.1611952899
"Colorado Springs, CO",2022-02-28,469056.9530169892
"Fort Collins, CO",2022-02-28,538841.5569321066
"Boulder, CO",2022-02-28,732991.0306552338
"Greeley, CO",2022-02-28,501292.7886210565
"Pueblo, CO",2022-02-28,291570.31702635874
"Grand Junction, CO",2022-02-28,374400.8845322898
"Glenwood Springs, CO",2022-02-28,791302.7588037262
"Edwards, CO",2022-02-28,1053518.8677874373
"Durango, CO",2022-02-28,570771.7750554922
"Ca-¦on City, CO",2022-02-28,320904.4847588841
"Montrose, CO",2022-02-28,424632.7607639005
"Breckenridge, CO",2022-02-28,1046434.7389678112
"Fort Morgan, CO",2022-02-28,315163.2491816647
"Steamboat Springs, CO",2022-02-28,935654.0590556408
"Sterling, CO",2022-02-28,228006.90957949997
"Craig, CO",2022-02-28,241873.5620025545
"Denver, CO",2022-03-31,604072.4145170167
"Colorado Springs, CO",2022-03-31,477666.62098694296
"Fort Collins, CO",2022-03-31,550708.7167344224
"Boulder, CO",2022-03-31,754876.2024965021
"Greeley, CO",2022-03-31,510409.00698315975
"Pueblo, CO",2022-03-31,297284.73695841705
"Grand Junction, CO",2022-03-31,380293.9960502691
"Glenwood Springs, CO",2022-03-31,809638.6537928608
"Edwards, CO",2022-03-31,1081190.645138031
"Durango, CO",2022-03-31,584121.5148974751
"Ca-¦on City, CO",2022-03-31,327140.0809001248
"Montrose, CO",2022-03-31,432772.45416615607
"Breckenridge, CO",2022-03-31,1076107.7609818487
