Metro,Date,ZORI
"Durango, CO",2025-03-31,2015.8628686014424
"Ca-¦on City, CO",2025-03-31,1373.5999370988975
"Montrose, CO",2025-03-31,1885.7628918733144
"Breckenridge, CO",2025-03-31,3464.2902415731496
"Steamboat Springs, CO",2025-03-31,3261.211660363711
"Sterling, CO",2025-03-31,960.011592021415
"Denver, CO",2025-04-30,1971.5615132100484
"Colorado Springs, CO",2025-04-30,1857.899717930719
"Fort Collins, CO",2025-04-30,2025.0033950617285
"Boulder, CO",2025-04-30,2369.448290978926
"Greeley, CO",2025-04-30,2100.796489000266
"Pueblo, CO",2025-04-30,1406.2503842775584
"Grand Junction, CO",2025-04-30,1663.4689773213522
"Glenwood Springs, CO",2025-04-30,3921.752104377104
"Edwards, CO",2025-04-30,3725.4636752136753
"Durango, CO",2025-04-30,2055.266563467492
"Ca-¦on City, CO",2025-04-30,1384.1666666666667
"Montrose, CO",2025-04-30,1918.055555555556
"Breckenridge, CO",2025-04-30,3467.454545454545
"Steamboat Springs, CO",2025-04-30,3218.0
"Sterling, CO",2025-04-30,983.3333333333334
