Metro,Date,ZORI
"Boulder, CO",2016-09-30,1610.9018220278497
"Greeley, CO",2016-09-30,1383.3099883013888
"Pueblo, CO",2016-09-30,841.0603774788025
"Grand Junction, CO",2016-09-30,935.0093027345245
"Glenwood Springs, CO",2016-09-30,1745.4312137451238
"Edwards, CO",2016-09-30,
"Durango, CO",2016-09-30,
"Ca-¦on City, CO",2016-09-30,
"Montrose, CO",2016-09-30,
"Breckenridge, CO",2016-09-30,
"Steamboat Springs, CO",2016-09-30,
"Sterling, CO",2016-09-30,
"Denver, CO",2016-10-31,1409.9388381598355
"Colorado Springs, CO",2016-10-31,1178.3567769965896
"Fort Collins, CO",2016-10-31,1335.6626097468345
"Boulder, CO",2016-10-31,1594.7749088111657
"Greeley, CO",2016-10-31,1390.6801507783923
"Pueblo, CO",2016-10-31,839.0011424485976
"Grand Junction, CO",2016-10-31,930.63802502081
"Glenwood Springs, CO",2016-10-31,1719.3848250914086
"Edwards, CO",2016-10-31,
"Durango, CO",2016-10-31,
"Ca-¦on City, CO",2016-10-31,
"Montrose, CO",2016-10-31,
"Breckenridge, CO",2016-10-31,
"Steamboat Springs, CO",2016-10-31,
"Sterling, CO",2016-10-31,
"Denver, CO",2016-11-30,1402.471721346228
"Colorado Springs, CO",2016-11-30,1175.1372265568882
"Fort Collins, CO",2016-11-30,1322.051564195854
"Boulder, CO",2016-11-30,1596.3756139208774
"Greeley, CO",2016-11-30,1395.7265297277827
"Pueblo, CO",2016-11-30,834.9018394598139
"Grand Junction, CO",2016-11-30,924.962544909074
"Glenwood Springs, CO",2016-11-30,1757.3239926276524
"Edwards, CO",2016-11-30,
"Durango, CO",2016-11-30,
"Ca-¦on City, CO",2016-11-30,
"Montrose, CO",2016-11-30,
"Breckenridge, CO",2016-11-30,
"Steamboat Springs, CO",2016-11-30,
"Sterling, CO",2016-11-30,
"Denver, CO",2016-12-31,1402.402990984745
"Colorado Springs, CO",2016-12-31,1175.185694524839
"Fort Collins, CO",2016-12-31,1325.5103043264303
"Boulder, CO",2016-12-31,1587.6886752298403
"Greeley, CO",2016-12-31,1380.766746830369
"Pueblo, CO",2016-12-31,841.0649870211244
"Grand Junction, CO",2016-12-31,915.1844179199734
"Glenwood Springs, CO",2016-12-31,1733.83827148846
"Edwards, CO",2016-12-31,
"Durango, CO",2016-12-31,
"Ca-¦on City, CO",2016-12-31,
"Montrose, CO",2016-12-31,
"Breckenridge, CO",2016-12-31,
"Steamboat Springs, CO",2016-12-31,
"Sterling, CO",2016-12-31,
"Denver, CO",2017-01-31,1410.64983150857
"Colorado Springs, CO",2017-01-31,1178.3060709141805
"Fort Collins, CO",2017-01-31,1336.9091456964925
"Boulder, CO",2017-01-31,1614.9545166700218
"Greeley, CO",2017-01-31,1392.606335724539
"Pueblo, CO",2017-01-31,839.6762414024493
"Grand Junction, CO",2017-01-31,919.9869443583586
"Glenwood Springs, CO",2017-01-31,1753.7707194170937
"Edwards, CO",2017-01-31,
"Durango, CO",2017-01-31,
"Ca-¦on City, CO",2017-01-31,
"Montrose, CO",2017-01-31,
"Breckenridge, CO",2017-01-31,
"Steamboat Springs, CO",2017-01-31,
"Sterling, CO",2017-01-31,
"Denver, CO",2017-02-28,1423.4122950213648
"Colorado Springs, CO",2017-02-28,1191.5947980028618
"Fort Collins, CO",2017-02-28,1364.6817743736576
"Boulder, CO",2017-02-28,1632.8544004081232
"Greeley, CO",2017-02-28,1401.869556925569
"Pueblo, CO",2017-02-28,847.5362886690502
"Grand Junction, CO",2017-02-28,926.0430971460464
"Glenwood Springs, CO",2017-02-28,1720.4416858920345
"Edwards, CO",2017-02-28,
"Durango, CO",2017-02-28,
"Ca-¦on City, CO",2017-02-28,
"Montrose, CO",2017-02-28,
"Breckenridge, CO",2017-02-28,
"Steamboat Springs, CO",2017-02-28,
"Sterling, CO",2017-02-28,
"Denver, CO",2017-03-31,1438.1677336572825
"Colorado Springs, CO",2017-03-31,1207.8609966714334
"Fort Collins, CO",2017-03-31,1385.8923014640072
"Boulder, CO",2017-03-31,1657.347994954372
"Greeley, CO",2017-03-31,1408.6686495442016
"Pueblo, CO",2017-03-31,849.2127606918393
"Grand Junction, CO",2017-03-31,942.1323408987748
"Glenwood Springs, CO",2017-03-31,1746.409421001356
"Edwards, CO",2017-03-31,
"Durango, CO",2017-03-31,
"Ca-¦on City, CO",2017-03-31,
"Montrose, CO",2017-03-31,
"Breckenridge, CO",2017-03-31,
"Steamboat Springs, CO",2017-03-31,
"Sterling, CO",2017-03-31,
"Denver, CO",2017-04-30,1454.1473183676944
"Colorado Springs, CO",2017-04-30,1222.1403275091088
"Fort Collins, CO",2017-04-30,1409.2827319535388
"Boulder, CO",2017-04-30,1662.5926711757436
"Greeley, CO",2017-04-30,1414.549461607346
"Pueblo, CO",2017-04-30,870.6392130517926
"Grand Junction, CO",2017-04-30,948.7795375742112
"Glenwood Springs, CO",2017-04-30,1757.4688911530989
"Edwards, CO",2017-04-30,
"Durango, CO",2017-04-30,
"Ca-¦on City, CO",2017-04-30,
"Montrose, CO",2017-04-30,
"Breckenridge, CO",2017-04-30,
"Steamboat Springs, CO",2017-04-30,
"Sterling, CO",2017-04-30,
"Denver, CO",2017-05-31,1469.821576944582
"Colorado Springs, CO",2017-05-31,1230.71221728599
"Fort Collins, CO",2017-05-31,1417.1900032132708
"Boulder, CO",2017-05-31,1669.8387137505867
"Greeley, CO",2017-05-31,1426.6807197571063
"Pueblo, CO",2017-05-31,882.0903906097614
"Grand Junction, CO",2017-05-31,965.0521594887872
"Glenwood Springs, CO",2017-05-31,1799.50265120676
"Edwards, CO",2017-05-31,
"Durango, CO",2017-05-31,
"Ca-¦on City, CO",2017-05-31,
"Montrose, CO",2017-05-31,
"Breckenridge, CO",2017-05-31,
"Steamboat Springs, CO",2017-05-31,
"Sterling, CO",2017-05-31,
"Denver, CO",2017-06-30,1480.2849424315436
"Colorado Springs, CO",2017-06-30,1238.6197586184303
"Fort Collins, CO",2017-06-30,1419.9374924983233
"Boulder, CO",2017-06-30,1680.3717044715145
"Greeley, CO",2017-06-30,1441.4039584628697
"Pueblo, CO",2017-06-30,890.0915930195109
"Grand Junction, CO",2017-06-30,972.8097517447368
"Glenwood Springs, CO",2017-06-30,1829.9722384868687
"Edwards, CO",2017-06-30,
"Durango, CO",2017-06-30,
"Ca-¦on City, CO",2017-06-30,
"Montrose, CO",2017-06-30,
"Breckenridge, CO",2017-06-30,
"Steamboat Springs, CO",2017-06-30,
"Sterling, CO",2017-06-30,
"Denver, CO",2017-07-31,1486.4358974235902
"Colorado Springs, CO",2017-07-31,1242.4586096830335
"Fort Collins, CO",2017-07-31,1417.3594051479697
"Boulder, CO",2017-07-31,1685.0133291045272
"Greeley, CO",2017-07-31,1448.5140948613143
"Pueblo, CO",2017-07-31,884.8877421456472
"Grand Junction, CO",2017-07-31,975.8244303022892
"Glenwood Springs, CO",2017-07-31,1838.9449283294668
"Edwards, CO",2017-07-31,
"Durango, CO",2017-07-31,
"Ca-¦on City, CO",2017-07-31,
"Montrose, CO",2017-07-31,
"Breckenridge, CO",2017-07-31,
"Steamboat Springs, CO",2017-07-31,
"Sterling, CO",2017-07-31,
"Denver, CO",2017-08-31,1487.4361429969658
"Colorado Springs, CO",2017-08-31,1250.946011731375
"Fort Collins, CO",2017-08-31,1409.6830736517038
"Boulder, CO",2017-08-31,1687.8373075418554
"Greeley, CO",2017-08-31,1460.2855980097445
"Pueblo, CO",2017-08-31,889.4728531869058
"Grand Junction, CO",2017-08-31,974.237370623958
"Glenwood Springs, CO",2017-08-31,1868.573714429201
"Edwards, CO",2017-08-31,
"Durango, CO",2017-08-31,
"Ca-¦on City, CO",2017-08-31,
"Montrose, CO",2017-08-31,
"Breckenridge, CO",2017-08-31,
"Steamboat Springs, CO",2017-08-31,
"Sterling, CO",2017-08-31,
"Denver, CO",2017-09-30,1484.33216379609
"Colorado Springs, CO",2017-09-30,1255.5229660479104
"Fort Collins, CO",2017-09-30,1401.4527242421575
"Boulder, CO",2017-09-30,1680.7865826229768
"Greeley, CO",2017-09-30,1467.6719653331093
"Pueblo, CO",2017-09-30,886.870591136609
"Grand Junction, CO",2017-09-30,970.713875526276
"Glenwood Springs, CO",2017-09-30,1861.7728135759733
"Edwards, CO",2017-09-30,
"Durango, CO",2017-09-30,
"Ca-¦on City, CO",2017-09-30,
"Montrose, CO",2017-09-30,
"Breckenridge, CO",2017-09-30,
"Steamboat Springs, CO",2017-09-30,
"Sterling, CO",2017-09-30,
"Denver, CO",2017-10-31,1477.8253072955354
"Colorado Springs, CO",2017-10-31,1258.0138006673617
"Fort Collins, CO",2017-10-31,1387.7154275871296
"Boulder, CO",2017-10-31,1676.670522042132
"Greeley, CO",2017-10-31,1463.2976104239806
"Pueblo, CO",2017-10-31,893.0762915257482
"Grand Junction, CO",2017-10-31,974.518336666867
"Glenwood Springs, CO",2017-10-31,
"Edwards, CO",2017-10-31,
"Durango, CO",2017-10-31,
"Ca-¦on City, CO",2017-10-31,
"Montrose, CO",2017-10-31,
"Breckenridge, CO",2017-10-31,
"Steamboat Springs, CO",2017-10-31,
"Sterling, CO",2017-10-31,
"Denver, CO",2017-11-30,1473.078436908329
"Colorado Springs, CO",2017-11-30,1257.3226008517847
"Fort Collins, CO",2017-11-30,1386.1845675656368
"Boulder, CO",2017-11-30,1675.370439711808
"Greeley, CO",2017-11-30,1450.9066325983738
"Pueblo, CO",2017-11-30,883.9088925788359
"Grand Junction, CO",2017-11-30,979.2393312066074
"Glenwood Springs, CO",2017-11-30,1911.8086275603173
"Edwards, CO",2017-11-30,
"Durango, CO",2017-11-30,
"Ca-¦on City, CO",2017-11-30,
"Montrose, CO",2017-11-30,
"Breckenridge, CO",2017-11-30,
"Steamboat Springs, CO",2017-11-30,
"Sterling, CO",2017-11-30,
"Denver, CO",2017-12-31,1476.4975333134742
"Colorado Springs, CO",2017-12-31,1262.6285784055754
"Fort Collins, CO",2017-12-31,1370.914562108018
"Boulder, CO",2017-12-31,1691.5994801448437
"Greeley, CO",2017-12-31,1443.7141665091228
"Pueblo, CO",2017-12-31,880.1201550313785
"Grand Junction, CO",2017-12-31,982.6007732196152
"Glenwood Springs, CO",2017-12-31,1907.495695981928
"Edwards, CO",2017-12-31,
"Durango, CO",2017-12-31,
"Ca-¦on City, CO",2017-12-31,
"Montrose, CO",2017-12-31,
"Breckenridge, CO",2017-12-31,
"Steamboat Springs, CO",2017-12-31,
"Sterling, CO",2017-12-31,
"Denver, CO",2018-01-31,1482.3359437463196
"Colorado Springs, CO",2018-01-31,1275.6924634151767
"Fort Collins, CO",2018-01-31,1390.8804388746305
"Boulder, CO",2018-01-31,1698.373134237764
"Greeley, CO",2018-01-31,1444.0920084018346
"Pueblo, CO",2018-01-31,879.8687453056353
"Grand Junction, CO",2018-01-31,986.8726683897776
"Glenwood Springs, CO",2018-01-31,1866.041776878337
"Edwards, CO",2018-01-31,
"Durango, CO",2018-01-31,
"Ca-¦on City, CO",2018-01-31,
"Montrose, CO",2018-01-31,
"Breckenridge, CO",2018-01-31,
"Steamboat Springs, CO",2018-01-31,
"Sterling, CO",2018-01-31,
"Denver, CO",2018-02-28,1493.1703191639326
"Colorado Springs, CO",2018-02-28,1283.8871509070811
"Fort Collins, CO",2018-02-28,1409.7071609835966
"Boulder, CO",2018-02-28,1710.5841964310268
"Greeley, CO",2018-02-28,1469.3511836028672
